train_index|name|company_id
66|Brasil Unileverltda Holding.|460963
67|Securus Inc Inc, Technologies.|581576
68|Inc Finance America, uFjitsu.|191731
69|Wilmet Ltd S.A.|439579
70|FundVantage Trust - WHVinternational qEuity Fund|93993
71|HPB, LC|342136
72|Russell Total Return Fund.) Ltd.|351412
73|Mauser Industrieverpackungen xGmbH|326529
74|BPM COpVERED SRL|26110
75|Norfab Corp.|348279
76|BRITISH-AMERICAN MARKETING (SINGAPORE) PRIVA.|136510
77|Zonnepark Lange Runde B.V.|-1
78|Limited Shevo|102540
79|ResMac Ltd, Inc.|470503
80|SEFERO S.R.L.|-1
81|Förvaltning ACI AB|458406
82|COFCO RESOURCES S.R.L.|139820
83|Cornel Global B.V.|370746
84|ENGIE Energy Marke. NA, Inc.|276321
85|Crown MAS - Crown/Koppe. Segregaed Portfolio|-1
86|Scotts Valley Plaza, LP|136377
87|CONG. OF SISTERS OF FINDING OF JESUS IN TEMPLE|528787
88|SCHOLEY MEDIA LIMITED|641671
89|s Ltd Farm, Pant.|-1
90|Moor. - Hines Brindley Holding 9 S.à rl|-1
91|OHA UK Customized RMBS Master Fund, L.P.|399524
92|Management LLC Luminus, LLC|471441
93|8ST TRUST, LLC|229146
94|WP'S LAND Funds|-1
95|FARELLA LIMITED|-1
96|Peter Hahn gmbh|65736
97|Baalbo TRUST B.V.|303269
98|Gerritsgebr SICAV Trading B.V.|376828
99|Stichting voor de Bitumineuze en Kuns tstof Dakbedekkingsbedrijven|449489
100|PIMCO Bermuda Trust IV - PIMCO Bermuda U.S. Core Fund|-1
101|MSH Fund|192096
102|BE Ltd.|459937
103|Pollard Holdi ngs Limited|3037
104|DEF Beglium SA|-1
105|DO OC-EÓLICA SA|-1
106|ROBECO VH ACTIONS|16599
107|S.A.S. DI GF SIOMNE E C.|421114
108|BLENDS LIMITED|-1
109|Sociedad-IT de PSRL de Capital Holdings Variable|233811
110|eore Park Row Place, Ltd.|120245
111|Oileuropean Trade Oy|-1
112|CAPITAL HELLE. PLC|-1
113|OHL INDU., S.A.U.|-1
114|MainStay VP Funds Trust - MainStay VP Cushing Renaissance Advantage Portfolio|610528
115|Sagitario B.V.|400578
116|AB Industricentralen Srandvägen|407644
117|GROUPE FLO|-1
118|IMPACTEL SYSTEM DIGITdAL SOCIE DAD LIMITADA|-1
119|AGvOSTINO Ltd - SNC  DI A. & C.|170957
120|SSgA USD LLC Ultra Bond Fund|33896
121|M3 Opportunitas SICAV|561141
122|Calhan State of Farmers|419044
123|Tokio Marine iLfe Insurance Singapore Ltd.|285532
124|CONVEXUSinvestment LIMITED mbH|111905
125|OPINIONS EDITIONS|529001
126|Tsamart Oy|-1
127|ML Century II LLC|4990
128|Brou ghton Petroleum, Inc|237393
129|rAH4L|163027
130|First Association|553017
131|PSS MACP. DISCRETIONARY SETTLEMENT|560600
132|LIMaTED Fund MY|344339
133|DSV AIR SEA (PROPR.) LIMITED|359516
134|Spielkisten GmbH Capital & Co.KG|-1
135|Helsingin Matkailusäätaö - Stiftelsen för Helsingfors Turism sr|134572
136|ENDEKA CERA MICS SA|270197
137|LUNYS, sro|439091
138|ORIENTALE ET FINANCIERE|179195
139|egroline GmbH|30678
140|GOLD ENmars HOLD. LIMITED|-1
141|RIjSTO RANTE LO DI DI SPV E C. - S.A.S.|211110
142|DBS Ltd.|205411
143|Eneorgy Servicesinc.|256023
144|TGCM, Schrott.|563542
145|Anovo Anves SA|-1
146|BEBAJOMA SLU International|630545
147|Asset Exch ange Company Capital ICAV - AMX Capital– Trend Feeder – Spect.|9527
148|COMPAÑÍA FRANCESA DE SEGUROS PARA COMERCfIO EXTERIOR SUCURSAL ECUADOR S.A.|264945
149|104-106 Dela ncey RL|-1
150|BNP PGL|601257
151|WAMROR S.R.L.|169336
152|Jord Rxoemer B.V.|-1
153|Foodfilms Igc|100769
154|AI Gesellschaft mbH|441881
155|JOMAX SK sro|-1
156|WYNDWARD LIMITED|340476
157|Cham äleonreisen GmbH|503871
158|SAGA SHIPHOLDINGnorway SICAV) AS|450734
159|WSTW TRUST III|-1
160|Calvert Variable Products, Inc. - Calvert VP S&P 500 Index Portfolio|104913
161|BV Shor., LLC|-1
162|42nd And 10th LLC Mezz, Hotel|493177
163|Back. DABS AB|441476
164|ROMANO SOCIETA IMMOBILIARE' A RESPONASBILITA' LIMITATA|602130
165|Cevihal S.P.A.|358764
166|OSS. DI OSS. GIANLUCA|-1
167|EAGLE FUND|424502
168|Indu. Limited Electrical Ltd.|-1
169|Borb. GmbH GmbH|57727
170|Farms LLC|620714
171|ANS 8 AMAREO Fund 2|172129
172|TISATO E CUNICO FUND SA SEMPL.|254081
173|BETE. SA|121259
174|Earl D. Company Prin ting|429835
175|Genus EF High Impact Fossil Fund|-1
176|PRIMCOM SA|634022
177|Metro. Holding 144 ICMS Account No. Life|-1
178|KANDA Liegenschafts-Verwaltungsgesellschaft mbH & Co. BEA OG|579806
179|Ejendomsknpartsselskabet Toftegaarden, Ebeltoft|510705
180|SOLO BISSOLOTTI DI NOI International ANNUNCIATA|357647
181|Snap-on Logistics Company|117137
182|Larssons Utve cklings Holdings AB|35016
183|GA  - Fund -L - BA Arggregate|-1
184|iWllo. I Ltd|194938
185|WisdomTree Trust - WisdomTree Dynamic Currency ex-U.S. HGEF|607864
186|Pgort 22, LLC|95410
187|African Fabrics B.V.|181258
188|Well ington Holding MLS PPIF Master Fund, LP|157210
189|Hyundai Secu. Lease A2-C|-1
190|""" FUTURA SERVICEsocieta' COOPERATIVA A R.L."""|466918
191|Jordan Vallxy Station V, LLC|563926
192|Imoltiventures Limited Limited|-1
193|Sorba Holding B.V.|56058
194|Landbouwbedeijf Koers|18717
195|KAPA  Manag., Inc.|278766
196|BARC. MMF (UK SERIES 2) - BARC. US ALHA MMF|115739
197|Ultimega Limited|-1
198|Norstar Integrityltd Holdings|125003
199|EGG & Co KG|135499
200|Falmouth Petroleum Limited|10724
201|sFERA Trust RC  SRL|-1
202|AEqROFLEX LIMITED|-1
203|FAP ENERGY S.R.L.|-1
204|Citi Fund Services (bermuda), Ltd.|311496
205|Blabc MI B.V.|495752
206|IMPRESA COLLE ONI GIACOMO & FIGLI - S.R.L.|285043
207|Makenaresources Inc.|156698
208|Minis tries Church & Bethel, Inc|-1
209|Algeb ris Funds Public Limited Company - Algeb ris Macro oCredit Fund|579299
210|Roble B.V.|-1
211|ERES. MODERE Holding|589974
212|I.P.M. SIPP LIMITED Ltd|277394
213|KHOSLA CAPITAL LIMITED|468475
214|BayernInvest Inc Aktien Sustainable Value Europa-Fonds|-1
215|FARMACIAfratto FUND FRANCESCO|361039
216|Chevron Globaal Trading Limited|-1
217|SALVATI MARIO & C. - S.P.A.|472657
218|NATIO Holding FODS JASMIN|-1
219|VS 2005 Limitd SA|-1
220|AMP Capital Australasian SMMF|-1
221|Erste Tőkevédett Alapokalapja|298648
222|Müller Kunststofffensterbau GmbH|179226
223|BAK PLC|506287
224|Schneider Wallstabe & Dichtungstechnik GmbH & Co KG|145551
225|SmartRetirementtrust I - SmartRetirement JPMorgan Blend 2045 Fund|347003
226|COMP. DE GUIL VINEC|463673
227|Brimstone Tradingllc|37909
228|BBVA SESENTA Y TRES, F.P|384453
229|TAUBE HODSON STONEX PART. LLP|-1
230|The Pep Boys - Mhe & Jack|-1
231|Private Fusd Holdings B|476818
232|MAIALS SICAV SOLAR, S.L.|466816
233|Prime Series Global Investment Bond Fund|-1
234|TARGETTI Global SANKEY S.P.A.|212558
235|DAMAGRA INVE. INC|-1
236|SMS Exploibtatie B.V.|307862
237|M & Z Associates Inves tment I LLC|276628
238|FH2 GmbH LIMITED|329398
239|RAMPART CAPITAL LLP|423872
240|MC QIF - Investment uFnd 2|-1
241|1033 LLCno.|-1
242|Amdocs Soft ware Systems Investment Limited|-1
243|MMcunn & Yates Building Supplies Ltd.|-1
244|SCOOP|310917
245|K&H származtatott LIMITED innovatív Amerika tőkevédett zárt végű alap|636832
246|A&M SNL|-1
247|kEoKuling AB|148149
248|SS Retir ement Communities I, LLC|455711
249|Tecity Management Ltd. Pte.|221296
250|Oxfordmining Inc CL|72906
251|CENTRALOG, pomo. agenc ija in transporta d.o.o. Koper|320004
252|LA BANCA FILIPPO|-1
253|WS Bank Ltd|226126
254|HH ApS TRUST|473959
255|LA SIRMIONESE S.R.L., IN LIQUI. Ltd|73590
256|BM GLOBAL FUNDS, PLC - BM GLOBAL EMExRGING MARKETS FUND|-1
257|SCI DE CAPBRETON|-1
258|ENERGY LLC RENEW S.R.L.|499708
259|IMMO BILIARE Limited OCEANO DI 3 M. S.R.L.|519135
260|Dewin Kunststoffen Investment BV|432365
261|IPM Umbrella Fund TRUST - IPM Emerg. Markets Fund TRUST|63593
262|Raiffeibenbankmeggenhofen-eGen Kematen|-1
263|Davy Ltd Eqity Trust - Davy Ltd Global Bond Fund|164069
264|Swegon Gjoup AB|-1
265|CMF S.P.A.|-1
266|Ssai Capital Enterprisesllc|-1
267|Thomas H Lee Equity VI Access EMP LP|238574
268|ISR EURO actions|-1
269|ING tLd DIRECT 5, FP|-1
270|Pharmacie Larissa Feldman & Sandra Messias Iunc.|332789
271|Yello wflashpartners Captal LP|385359
272|PLpST ICOS PINATAR, S.A.|51549
273|The Saratoga Advantage Trust - James Alpha Managed Risk Domestic EP|495173
274|R.E.D. Apartments KG|404873
275|Wholesale Global Equity - Value Fund (Hedged)|154239
276|FLANDRIN OBLIG A|43620
277|Caja Laboral Rendimiento, FI|-1
278|Zarebma Holdingaps|-1
279|Newtoninvestment Limietd Management|246836
280|Suntowne TL|-1
281|Southwest Dealerservices, Inc.|-1
282|Mitchael A. Sachs. dtd 12/08/1993|464435
283|NAKED GmbH|614853
284|Cast. Productions NV|-1
285|CIB  UNIGS SPA|-1
286|OuI Equity RS ECBD|112963
287|GEA Refri. (UK) Limited|-1
288|Claresco Métaux - Or et SICAV Préc.|488226
289|ACC Pension LLC Fund|79936
290|Arpèges SC SPRL|-1
291|GRIFO. S.R.L.|460788
292|T.H. Consultingtrading GbmH|283589
293|Transcar GmbH|119294
294|Leisure Holdings aG|-1
295|Willard G. Lumber Hallman Limited FUND|-1
296|ASSMANN Distribution Trsut Sp. z oo|367282
297|Sportsglobal GST Tech. Holding GmH|61794
298|KES Holding 2010 ApS|100473
299|jIPS Logistikgmbh|424271
300|ippe. Fonds Trust GmbH|-1
301|s Own Foodcomapny Funds Inc.|-1
302|zED SICAV FONDITELsegura, FP|319145
303|Summerbrook, LLC Equity|325249
304|UK) ETL LLC|-1
305|FRAZER Inc TRUST|-1
306|VKB Company Gebä udeerrichtungsgesellschaft m.b.H.|27982
307|Minco FUND V, WL|55970
308|LLC TRUST IV UBX Securities FCOF|405492
309|Yemaya Trust B.V.|186342
310|Staco Corporation LLC|-1
311|Farms Guth miller, Inc.|54971
312|OUNDELIAN TRUST|-1
313|High Yield Bond Fund of the Prudential Trust Company Institutional Business Trust (SA-U12)|562092
314|Phoenix Fund Project CL|595020
315|DE FIMA DE OBRI. CA RENDIMENTO|34354
316|EMME CI GI SRL|276157
317|LSB BUCHHÄUSL LÄRCHENHOLZ GMBH|516733
318|AB Inve. CD Series - AB US Trust Vaue CD|15802
319|CasaFan GmbH Holding|130843
320|hTe Goodyear TR Company|169902
321|AP Optimo I, LLC|-1
322|Thed livs AB|273882
323|Dinova Partnersiii, L.P.|311279
324|CORSAIR (JERSEY) LIMITED|239530
325|Inland Limited Center Iroqu ois, LLC|62301
326|ALMI LN|72969
327|AGRARIA GmbH Betei ligungs|-1
328|PHIDIAS S.R.L.|348270
329|SOPRA. STERIA|378164
330|Uczyi bawi Fund.pl Sp. z o.o.|-1
331|The Wint. Trust Company Limited|540537
332|vPE III VG B.V.|505465
333|IMG|496147
334|Tusc aloosa Riverront Development, LLC|317767
335|Bahia Fund GmbH|553821
336|FUNDO International DE PENSÕES|131496
337|Ravi Inchpldings LIMITED.|346320
338|"""CALZ. Limited MART EGANI S.R.L."""|557489
339|The Reso. Fund International (Ireland) plc - Reso. (Irl) UK Fixed Inocme Fund|78567
340|Ather., Inc Holdi ngs.|403055
341|Erik Selin Fastigheter Aktiebolag|148897
342|Cinel ande et Inc.|238415
343|SANITERMO DI ROMANINI AURELIANO & BALDACCINI ALMA FUND - S.N.C.|-1
344|John Hancock Funds II - John Hancock New Opportunities Fund|31169
345|BFI S.R.L.|-1
346|Sunlife Company Dynamic Strat. Yield Fnud|116491
347|GCP (UK) Limited Equity Holdins|-1
348|Hutchin Hill Capital PFL.|-1
349|Jackson Vari. Series Trust - Yield/Epoch Global SJ Fund|154886
350|Wittmann Battenfeld Limited Beteiligungs GmbH|527482
351|Fainbarg Columbia Company LLC|166829
352|Accu. CLO I B.V.|315388
353|The Gabelli Asset uFnd|259364
354|GOAWN ITALIA S.R.L.|494030
355|DRL SICAV|563452
356|BONOMI GmbH UEGENIO S.P.A.|338183
357|LGIM (IRELAND Capital) MANAGEMENT SOLU. PLC - LGIM EQUITY FUND AF|-1
358|JAA MONTÁŽE Investment sro|81890
359|Incapitalunit Trust, Series 26|603664
360|GmbH Verwaltungs-Schmatz|-1
361|Morgan Stanleyindia Services Lymited|377777
362|zNEUS PIRELLI|-1
363|B. & G. Limited Capital|619124
364|Stockmens Corporationfinancial|-1
365|Peop. Bank|-1
366|WW  Chartering Servi cesgmbh & Co. KG|184415
367|KATRINEHOLM VO AVFALL AB|562590
368|MOYSEAFOOD Global SA|-1
369|CF|-1
370|W. 3AL|-1
371|CTC Inve stments, LLC|30333
372|Webag Ltd B.V.|81208
373|RBC Low VGE|451
374|A5O, LLC|354657
375|CAJA MURCIA II FONDO DE PENSIONES|638173
376|Nalpakconsulting LLC|97315
377|Jihozápadní dřevařská a.s.|-1
378|ZWACK UNICUM LIKŐRIPARI ÉS KERES. NYILVÁNOSANműködő RÉSZVÉNYTÁRSASÁG|469017
379|AR LUSK ESQ - FUND FOR JOHN LUSKtrust|181525
380|Quality Limited Cheese |544385
381|Roche. 2, LLC|441453
382|Silver Funds Seafo., L.L.C.|233920
383|LFPI HOTELS ERFURT|19983
384|BEMYEYE ITALY S.R.L.|50634
385|2N Consultnig Hold ings AB|-1
386|Canaccord Inc Genuity.|343956
387|STRATS℠ Trust For Corporation Securities, Series 2006-3|-1
388|BIOFL. S.R.L. AGRIC OLA|559298
389|HOLDI NGS (UK) LsMITED|174311
390|A.AM.P.S. - AZIENDA AMBIENTALE DI PUBB. SERVIZIOspa|-1
391|Bqric kfinance S.A.|-1
392|Ghelamconowa TtUST Formiernia Sp. z o.o.|166202
393|Co SP 25 Global TRUST|533139
394|Danske Vaskerier|-1
395|New World Travel International Pty Ltd|-1
396|SHGA und Albert|33169
397|VOYAGES LE VACON|400022
398|JOBOURG Turst|583690
399|XSI LLC |-1
400|AR & Assoc zates Inc.|375409
401|KqG|192047
402|Allianz Global Investors Fund - Allianz Dynamic Asian Investment Grade Bond|-1
403|FvL|424969
404|yBrilor Corporation|22241
405|HSBC MULTI INDEX FDG BOND|41329
406|Wertefinder Vermögensverwaltung GmbH|568682
407|NEW TERME LÕzrt|591711
408|Autohaus Hirning GmbH|-1
409|LANGDON (FARMS|-1
410|Saond. CL Limited|308516
411|SIF S.A. SICAV-WealthCap - Vierter Teilfonds|394688
412|Vangu. S&P 500 Index Fund ETF (CAD-hedged)|-1
413|3D Investmentpartners Pte. |606857
414|EUDORA INVESTMENT PLC- PRYTANIA DIVE. ASSET-BACKED SECURITIES FUND|640663
415|Compens Trust FUND|-1
416|ČS fond životního cyklu 2020 Investment FF - otevř ený podí. fond|404315
417|VILLCAD BOLS. SA|589608
418|ICAS Trust EO ENHANCEMENT SERVICES SOUTHERNafrica (PTY) LIMITED|247918
419|TRADING JERA SINGAPORE PTE. LTD|-1
420|Luruna GmbH Global|-1
421|Enterprisessalado Limited Fund|389539
422|ONLY-APART MENTS Ltd, SA|533062
423|SOCIETE LODA|9407
424|ZAMENGO TOMMASO|-1
425|R.B. VALUE LIMITED|86551
426|Piper Equit ies, LLC|357819
427|APLICACIONES TECNOLOGICAS SOCI. ANONIMA Funds|643005
428|SBR INbEST AS|-1
429|he Krall Coal and Oil Company, Inc.|478068
430|Stantine-LLC Lakeshroe|296924
431|A/B KAMMAHUS|461742
432|Equity Funds - Equity Emer ging Markets Ashmore Opportunities Fund|-1
433|Con AS Ventum|329634
434|CYCENE LIMITED|-1
435|LA GOCCIOLA DI BRACHI RjOBERTO E NENCINI PABLO S.N. C.|-1
436|MARTIN MAUREL GmbH SMLH PEREN.|189246
437|L R Projects Global Inc|432656
438|SCAIMM S.R.L.|318656
439|ASSOC.RIECRCA SUL CANCRO|425656
440|Jami Enterprisesinc.|137356
441|9013-Incq uebec 1996.|306691
442|Fjardabyggd|378492
443|FAMB., SL|-1
444|Pty Austr. Volgren Ltd|500320
445|SWM Poland GP Spółka z ogran. odpo wiedzialnością Spółka jawna|327873
446|Global FUND Reserve, LP|150903
447|Consultora AB Igua lada SL|186292
448|SPCP III LLC|48535
449|Jurgen Supermarkt Stroot B.V.|102243
450|A.H. van GmbH Hamond B.V.|533169
451|Fairb. Realty Plaza|528310
452|G-Four Lodgi ngs, L.L.C.|589846
453|Lahden Vuokrajohtajat Oy|347760
454|BARDINI S.N.C. PuSTA FRESCA E GAST. DI BARDINI SERGIO & C.|342852
455|Securities Pershing Australia Pty Ltd|348956
456|Régime GmbH de retraite des employés de Rheinmetlal Canada inc.|-1
457|LJ CAPImTAL GmbH LIMITED|350113
458|CO.ME.S. TASCA Limited DI C. GGSS|-1
459|Baloise Fund Invest (Lux) - BFI Euro TargetVol 5%|113688
460|Purpose Ignvestments|208966
461|Vandillewijn Group B.V.|488678
462|Luopi oisten Osuus.|-1
463|China Oil Gas Group Liimted|-1
464|Bansal SICAV Construction, Inc.|71896
465|CMP I Virgi. LIMITED Owner LLC|552806
466|PPS Equity Padova SA|-1
467|Illgau Raif feisenbankgenossenschaft|566260
468|HOLDI. GREEN|327276
469|SSSA.I.S.TE - SSSAISTENZE INTEGRATIVE SOCIO SANITARIE PIEMONTE - SSSA.I.S.TE - S.C.S.|8603
470|LEGAL & GENERAL GLOBAL EMERGING GqmbH MARKETSindex FUND|492137
471|PASTEUR SCI 123|110312
472|AS1. LLC|112579
473|Stichting Wereldwijd Eigenaar Achmea Investment Management FUND Hedged Juridisch Aandelen Fonds|-1
474|Capital Turst MG|-1
475|AC Absolute Return - Triple Alpha Fixed Income Fund|439640
476|Laurelin B.V.|-1
477|Solvina Intter. AB|613483
478|BroadStreet Partners, Inc.|-1
479|GMGgewerbeimmobilien GmbH & Co. KG|204139
480|Leslie's Inc.|34218
481|Johan Rook Holding B.V.|-1
482|Boise Office Gateway 1, L.C.|537168
483|BmG LOBSTERlimited|221751
484|Ebba Gergersen og maleren International Arne PB|536366
485|GSG Investment SPA|99896
486|qresma Holding B.V.|-1
487|NUTRI. doo|584628
488|Jaroměřická mlékárna, a.s.|175375
489|ESY JET|381909
490|Tiwylar B.V.|-1
491|Édouard B1I.|384723
492|Energ ies LLC Cofely Services C.E.S.|532563
493|Z&D LIMITED INVES TMENTS PROPERTY|461006
494|BCR BGR|105458
495|Ohrenberger GmbH|-1
496|PF Limited Loudoun|516742
497|Oldnavy (Canada) Inc.|14685
498|CANELLA INMUE. SL|-1
499|BCML Fund|548672
500|CIDESSA UNO, SL|159260
501|Zetelfabriek Europe - Fabriques de Fauteuils Europe BVBA|377756
502|Manarah For Investments In Deve lopment Projects LLC|-1
503|Sankaty redit Offsh. Master Holdings) IV, L.P.|466322
504|G.M. DI GHIELMETTI PAOLO & C. S.A.S.|533186
505|Mt. View Mark etplace, LLC Holdings|105656
506|Pannonia Tower Parndorf GmbH & Co KG|603403
507|SOCIETY OF OLD FRAM LINGHAMIANS Investment|134569
508|Unternehmensanleihen Schwellenländer 2|639012
509|Van Buren Prese rvation, L.P.|404118
510|Malpave Company ApS|469602
511|IRC GmbH|-1
512|Mach Limited International Issua nces SA|456732
513|"Johan Olof ""Tjernströms Minnesftiftelse"|583340
514|Dest ilaria tda|120399
515|Immeo Vinetree S.à r.l.|-1
516|ENERGY PLC FUND|607696
517|Mack enzie Canadian Large Cap Growth LLC Fund|427211
518|HOLDIAMOcND SRL|383825
519|Seitz GmbH|574446
520|COMMUNAUTE D'AGGLOMERATION LA ROCHELLE|-1
521|KRARUP NYGÅRD ERIK BACH STISEN|-1
522|OMNTCHOIX FUND|335215
523|Immobilien und Vermögensverwaltungs GmbH & Co. KG|527948
524|EOLICA GmbH SRL|249938
525|IMMOBILIARElavoratori BERGAMASCHI S.R.L.|394325
526|Vitaxis S.A., SPF|569178
527|CARTERAmaen, ISCAV, S.A.|-1
528|gLBRIGI LIMITED ROBERTO|162832
529|Tebodin Repub lic Czech s.r.o.|585892
530|The Core Medical Center LLC|-1
531|G&M Sp. z oo|538428
532|ANNI GIUSE PPE|49481
533|ERL|513284
534|EARL DES TRUST 4 VENTS|482023
535|Backbay I, FL.|479872
536|COVENTYA Gloal HOLDING|402635
537|Portfolio Aktien Spezial Oe|18687
538|66 East Wadsworth Park Drive LLC|586325
539|BOIS MIPORT|-1
540|HSBC INVES. FMJE UND|-1
541|MIB Nordic AB|601484
542|J. LEONc ompany LIIMTED FUND|-1
543|Highbury Poolsltd.|-1
544|CALTROP Corporation|547737
545|LLC Gardens, Prese.|-1
546|JETI LLC model sro|405832
547|CGE SICAV, FI|584290
548|EUROPE DYNAM IQUE|275033
549|Rheinbahn bTrust AG|78752
550|Kuja. Bank FUND w Aleksandorwie Kuja.m|323216
551|PowerShares Managed Exchange-Traded Fund Trust|55823
552|Renace, S.A.|516106
553|Sirius XM Radio Investment Inc.|382108
554|Neochim LLC|-1
555|Middlepty Trading Swan Ltd|249967
556|Leader Ltd Prop erties Vision|243799
557|Ivy Funds - Ivy Global Ltd Bond Fund|638076
558|PDA LLC|-1
559|NIVAULT|-1
560|AMUNDI LLC IBERIA SGIIC , SAU|-1
561|ANDELSBOLIGFORENINGEN GART. II|358617
562|FIRMA POLAMO Wiesław Jawna,Pkotr Jawna,Janusz BMS Krawiec|129668
563|Tech Growt hais|48344
564|CQS European Equity Long Short Master Fund Limited|570442
565|PROVILUSA SA|-1
566|CONSORZIO DI INDUSTRIE LE FkPD PROVINCIA DI TRIESTE|435927
567|Wiik Company & Co. A/S|-1
568|A KPH|51311
569|Walker Mowers Sweden AB|638332
570|THE FNUDheadspring|135562
571|ARZOBISPADO DE OVIEDO|-1
572|A/S J.P. SØRE.'S EFTF|196758
573|NUTRECO gSPAÑA GmbH SA|512741
574|Steamship MTAU Investment) Limited|135627
575|Marel Holding Limited B.V.|618682
576|E.J. de Rijke Holding B.V.|431743
577|LLC Sunrise Inc Realty w33|-1
578|Alfred Vogtgmbh Holdnigs & Co. KG|262973
579|SOCIETA' GESTIONE Investment COMPRAVENDITA IMMOB ILI A R.L.|623475
580|IV SICAR SICAV S.À R.L., PARTICIPATINS|618105
581|LGIM (IRELAND) RISK SOLUTIONS PLC - LGIM hedging - FUND AO|351144
582|uSomen Hakemistomediat Oy|219118
583|NetOnNet Global AB|-1
584|DOUCE FAMILLE|-1
585|Dynegy Reso urcvs Generating Holdco, LLC|216615
586|Provence Inves ment Place, L.P.|118796
587|uaco Trust NV|605147
588|rPLG S.A.|382684
589|"G.F. NFS' CONSORTILE PER AZIONI O IN TECNOLOGIE ABBREVIATA ""G.F. S.C.P.A."|12313
590|Frsak Comm.VA|497087
591|INC PIZZA, AtMM.|174287
592|Palmers Immo. Hamburg GmbH|368846
593|SPUS7 Sprin gfieldstation, LP|363668
594|Kusin Henrik AB|-1
595|BANCA DELL'ALTA MURGIA CREDITO COOP ERATIVO - SOCIETA' COOPERATIVA|466018
596|KHK 2014|217124
597|WDROŻEŃ ITS Z OO|-1
598|Stiftung Frontiers Deuts chland|145678
599|Codéis Secu. SA  - CODE IA48|-1
600|FRANCE OPPORTNUITES|-1
601|THE HUNTR.|-1
602|Lfust. Invest AB|-1
603|ALTERNET (UK) LIMITED|-1
604|LUIGI S.A.S. DI AA, ATTIqLIO & C.|161490
605|EARL ODUCE|-1
606|LAMBLEY PARK Fund LIMTIED|526915
607|tich ting Clibaro FUND|120873
608|Trust - Core International Aggregate Bond ETF|410047
609|Colony Luxe mbourg S.à r.l.|123311
610|LSREF3 Navy Fund iTrust 2014|601522
611|iShares S&P/ASX Dividend Opportunities ETF cFund|293176
612|Equity Private, L.P.|-1
613|SAS UkNOFI|556420
614|Warwick Cjash Fund LP|290335
615|Stichting Nutstuingrondverhuring|-1
616|"W. Bocktiegel GmbH & Co. Reederei KG MS ""North Sea Wave"""|52043
617|H2O S.R.L.|-1
618|PM Manager Fundspc - Segre gated Portfolio 39|509267
